customer_id,signup_date,age,gender,city,region,segment
C00001,2025-11-10,41,F,Oxford,South,Home Office
C00002,09/12/2025,38,M,Brighton,South,Home Office
C00003,2025-02-27,41,F,  Plymouth ,West,Home Office
C00004,2024-03-15,29,M,EXETER,West,Small Business
C00005,25/03/2023,41,F,NORWICH,East,Consumer
C00006,27/05/2025,32,F,Norwich,East,Consumer
C00007,24/02/2025,31,M,reading,South,Consumer
C00008,2023-03-28,18,F,Exeter,West,Consumer
C00009,25/02/2024,39,M,Manchester,North,Consumer
C00010,11/03/2024,51,M,  Southampton ,South,Small Business
C00011,12/06/2025,37,M,Bristol,West,Corporate
C00012,2024-12-21,36,M,brighton,South,Consumer
C00013,2024-11-01,57,M,York,North,Home Office
C00014,2024-11-09,54,,reading,South,Home Office
C00015,12/06/2023,64,F,exeter,West,Consumer
C00016,2023-11-07,70,F,  Sheffield ,North,Consumer
C00017,2022-05-12,42,F,Cardiff,West,Small Business
C00018,26/04/2025,26,F,bath,West,Consumer
C00019,2024-01-31,34,F,Ipswich,East,Consumer
C00020,2024-02-07,48,F,BRIGHTON,South,Consumer
C00021,04/05/2023,60,F,Cardiff,West,Home Office
C00022,2023-03-08,27,F,Manchester,North,Consumer
C00023,2024-08-23,44,F,Coventry,Central,Home Office
C00024,2023-04-14,31,F,Exeter,West,Home Office
C00025,2022-06-22,39,M,york,North,Home Office
C00026,2025-04-03,39,M,Cardiff,West,Home Office
C00027,2023-11-13,46,M,Ipswich,East,Home Office
C00028,19/11/2023,67,M,COLCHESTER,East,Home Office
C00029,2024-01-29,47,F,Brighton,South,Consumer
C00030,2025-05-30,35,M,  Peterborough ,East,Home Office
C00031,26/08/2023,33,F,cardiff,West,Corporate
C00032,2025-03-22,39,F,Leicester,Central,Consumer
C00033,2025-10-23,30,M,BRIGHTON,South,Small Business
C00034,2024-11-23,43,M,Cambridge,East,Consumer
C00035,2024-01-29,18,F,Bristol,West,Consumer
C00036,10/03/2025,38,F,exeter,West,Consumer
C00037,2024-03-05,39,M,Norwich,East,Small Business
C00038,2024-01-05,26,M,reading,South,Consumer
C00039,2024-06-03,36,F,  Plymouth ,West,Consumer
C00040,2023-08-21,56,F,  Portsmouth ,South,Consumer
C00041,08/09/2022,56,F,York,North,Consumer
C00042,2024-01-06,34,F,norwich,East,Corporate
C00043,2022-10-14,48,F,  Brighton ,South,Small Business
C00044,31/12/2023,22,F,leeds,North,Home Office
C00045,2024-07-14,37,M,manchester,North,Small Business
C00046,2025-10-12,44,M,  Bath ,West,Consumer
C00047,2022-04-21,61,F,Leicester,Central,Consumer
C00048,04/10/2024,57,F,Peterborough,East,Consumer
C00049,2024-03-05,44,M,LEEDS,North,Home Office
C00050,12/03/2022,29,M,Cardiff,West,Home Office
C00051,2023-05-10,59,Other,  Portsmouth ,South,Home Office
C00052,05/10/2022,37,,  Coventry ,Central,Consumer
C00053,20/03/2023,47,M,,East,Consumer
C00054,18/06/2023,39,F,,North,Consumer
C00055,2023-12-18,67,F,Ipswich,East,Home Office
C00056,2024-06-08,33,F,SOUTHAMPTON,South,Consumer
C00057,2022-01-08,53,M,exeter,West,Consumer
C00058,2022-12-20,40,F,Newcastle,North,Small Business
C00059,2022-08-19,48,M,Bristol,West,Consumer
C00060,2024-07-04,62,F,Bristol,West,Consumer
C00061,2023-09-07,18,M,Cardiff,West,Consumer
C00062,2024-07-03,40,M,  Coventry ,Central,Consumer
C00063,2023-03-28,29,M,Manchester,North,Consumer
C00064,22/03/2022,47,F,Colchester,East,Consumer
C00065,25/10/2025,50,F,Cardiff,West,Consumer
C00066,2022-09-16,35,F,Oxford,South,Consumer
C00067,2022-10-20,34,M,Sheffield,North,Consumer
C00068,23/11/2022,44,F,brighton,South,Home Office
C00069,2025-12-10,24,M,  Oxford ,South,Small Business
C00070,30/09/2024,45,,Leicester,Central,Home Office
C00071,2024-09-20,30,F,Ipswich,East,Home Office
C00072,16/12/2025,51,F,bath,West,Corporate
C00073,2022-08-09,24,F,BIRMINGHAM,Central,Consumer
C00074,2025-12-02,34,M,portsmouth,South,Corporate
C00075,28/02/2023,31,F,Bath,West,Consumer
C00076,06/10/2024,37,M,york,North,Home Office
C00077,2024-01-13,59,F,York,North,Home Office
C00078,2023-11-24,52,F,Manchester,North,Home Office
C00079,13/10/2025,35,M,  Oxford ,South,Consumer
C00080,2022-11-28,35,F,southampton,South,Consumer
C00081,2025-12-28,53,M,Ipswich,East,Consumer
C00082,2023-11-17,26,,Oxford,South,Consumer
C00083,08/11/2024,41,M,newcastle,North,Consumer
C00084,2025-11-24,33,M,plymouth,West,Small Business
C00085,2022-06-08,39,,manchester,North,Small Business
C00086,2025-10-03,52,M,Plymouth,West,Consumer
C00087,2024-07-28,32,M,nottingham,Central,Home Office
C00088,16/01/2025,54,F,bath,West,Consumer
C00089,28/11/2022,70,M,  Ipswich ,East,Consumer
C00090,2024-06-13,49,F,Cardiff,West,Home Office
C00091,2024-12-09,,M,Plymouth,West,Consumer
C00092,2024-03-03,56,M,leicester,Central,Consumer
C00093,2022-12-08,27,F,Leicester,Central,Small Business
C00094,2023-05-02,61,M,Brighton,South,Home Office
C00095,2025-07-15,31,M,Peterborough,East,Consumer
C00096,17/04/2022,69,F,Cardiff,West,Small Business
C00097,21/01/2025,32,F,leeds,North,Corporate
C00098,2025-12-30,50,F,CAMBRIDGE,East,Consumer
C00099,02/02/2022,21,M,Plymouth,West,Small Business
C00100,2022-12-18,38,F,exeter,West,Corporate
C00101,09/12/2024,27,F,Reading,South,Corporate
C00102,2022-06-13,22,F,BRIGHTON,South,Consumer
C00103,2024-08-25,57,F,sheffield,North,Consumer
C00104,22/12/2024,25,F,CAMBRIDGE,East,Consumer
C00105,23/08/2024,31,F,Birmingham,Central,Consumer
C00106,2023-10-28,30,F,Derby,Central,Home Office
C00107,2025-01-07,56,F,  Oxford ,South,Consumer
C00108,2024-08-31,54,M,Portsmouth,South,Home Office
C00109,2023-03-05,58,M,Bristol,West,Home Office
C00110,22/07/2024,31,M,Bristol,West,Consumer
