threshold,precision,recall,f1,contact_rate,expected_value,ev_per_customer,ev_per_customer_se,uplift_vs_do_nothing
0.05,0.33703025734898245,0.9821148415437716,0.5018438351771685,0.7739166666666667,-1510100.0,-125.84166666666667,1.3939067920785895,83400.0
0.06,0.3717794365518902,0.968936303733919,0.5373705733924998,0.6921666666666667,-1468400.0,-122.36666666666666,1.4249418900903863,125100.0
0.07,0.3979419043897356,0.9585817383118921,0.5624079528718704,0.63975,-1442725.0,-120.22708333333334,1.4451422878635678,150775.0
0.08,0.4161259146762391,0.945716975211798,0.5779482262703739,0.6035833333333334,-1428200.0,-119.01666666666667,1.4618108284985443,165300.0
0.09,0.4303833957912943,0.9369312833385629,0.5898271604938271,0.5781666666666667,-1417850.0,-118.15416666666667,1.4732273000490141,175650.0
0.1,0.4433608402100525,0.9272042673360528,0.5998781973203411,0.5554166666666667,-1409625.0,-117.46875,1.48431949132113,183875.0
0.11,0.45565081839438815,0.9171634766237842,0.6088314934388669,0.5345833333333333,-1402725.0,-116.89375,1.494977491988844,190775.0
0.12,0.46578650780872644,0.9077502353310323,0.6156629070014896,0.5175833333333333,-1397775.0,-116.48125,1.5042433008090128,195725.0
0.13,0.47498343273691185,0.8995920928773141,0.6217066030575734,0.503,-1393575.0,-116.13125,1.5121824933775567,199925.0
0.14,0.48338728914636225,0.8901788515845623,0.6265459363957597,0.4890833333333333,-1390475.0,-115.87291666666667,1.5205592821673553,203025.0
0.15,0.49113257243195785,0.8776278631942266,0.6298131051564962,0.47458333333333336,-1388775.0,-115.73125,1.5306511255101407,204725.0
0.16,0.4999093710349828,0.8653906495136492,0.6337316176470589,0.45975,-1386700.0,-115.55833333333334,1.5405964537942853,206800.0
0.17,0.5093005952380952,0.8591151553184814,0.6394955039121804,0.448,-1383150.0,-115.2625,1.546680203247187,210350.0
0.18,0.5163747143945163,0.8509570128647631,0.642730181301102,0.43766666666666665,-1381500.0,-115.125,1.5533538254131212,212000.0
0.19,0.5247756535310183,0.8440539692500785,0.6471791170455913,0.42716666666666664,-1379050.0,-114.92083333333333,1.5593999369629943,214450.0
0.2,0.533226581265012,0.8358958267963602,0.651105951362581,0.41633333333333333,-1377100.0,-114.75833333333334,1.5661362855790264,216400.0
0.21,0.5415983606557377,0.8293065578914339,0.6552621792487914,0.4066666666666667,-1374975.0,-114.58125,1.5717728543575455,218525.0
0.22,0.5458542713567839,0.8180106683401318,0.6547783498681401,0.398,-1376075.0,-114.67291666666667,1.57952014470589,217425.0
0.23,0.551169276979189,0.8060872293693129,0.6546890927624872,0.3884166666666667,-1376975.0,-114.74791666666667,1.5877588681906478,216525.0
0.24,0.556407447973713,0.7969877627863194,0.6553147574819401,0.3804166666666667,-1377250.0,-114.77083333333333,1.5941785734342644,216250.0
0.25,0.5618556701030928,0.7866331973642925,0.6555105242515361,0.37183333333333335,-1377875.0,-114.82291666666667,1.6013308697259547,215625.0
0.26,0.5684884518637091,0.7800439284593662,0.6576719576719576,0.36441666666666667,-1377100.0,-114.75833333333334,1.60632109089552,216400.0
0.27,0.5748769627372862,0.7696893630373391,0.6581701100080494,0.3555833333333333,-1377575.0,-114.79791666666667,1.613477577631101,215925.0
0.28,0.5801672640382318,0.7618449952933793,0.6587086272381986,0.34875,-1377850.0,-114.82083333333334,1.6189107390281101,215650.0
0.29,0.5851037851037851,0.7518042045811107,0.6580609722603681,0.34125,-1378950.0,-114.9125,1.625551438774703,214550.0
0.3,0.5902414737366194,0.743959836837151,0.6582454192115491,0.33475,-1379425.0,-114.95208333333333,1.6308676418616954,214075.0
0.31,0.5968439806566557,0.7358016943834327,0.6590781337830242,0.3274166666666667,-1379575.0,-114.96458333333334,1.636509449989001,213925.0
0.32,0.603129074315515,0.7257609036711641,0.6587866704642552,0.31958333333333333,-1380475.0,-115.03958333333334,1.6431544774152238,213025.0
0.33,0.6064962726304579,0.7147787888296203,0.656200489701858,0.313,-1382650.0,-115.22083333333333,1.6499396714617163,210850.0
0.34,0.6129382984506659,0.7075619705051773,0.6568598893096417,0.3065833333333333,-1382825.0,-115.23541666666667,1.6548577955853856,210675.0
0.35,0.6207756232686981,0.7031691245685597,0.6594085626011476,0.30083333333333334,-1381825.0,-115.15208333333334,1.6582623423998173,211675.0
0.36,0.6264416315049226,0.6987762786319422,0.6606348264609908,0.29625,-1381525.0,-115.12708333333333,1.6613959450893685,211975.0
0.37,0.6309284277091118,0.6887354879196737,0.6585658565856586,0.28991666666666666,-1383325.0,-115.27708333333334,1.6676030171738836,210175.0
0.38,0.635273471775373,0.6815186695952307,0.6575840145322435,0.28491666666666665,-1384350.0,-115.3625,1.6721503042587116,209150.0
0.39,0.637936176558306,0.6711641041732036,0.6541284403669725,0.27941666666666665,-1386825.0,-115.56875,1.678276320237636,206675.0
0.4,0.6389225181598063,0.6623784122999686,0.6504390694808196,0.2753333333333333,-1389275.0,-115.77291666666666,1.6833239668733762,204225.0
0.41,0.6440259339302253,0.6545340445560088,0.6492374727668845,0.2699166666666667,-1390400.0,-115.86666666666666,1.6882137121433696,203100.0
0.42,0.647244094488189,0.6448070285534986,0.6460232631248035,0.26458333333333334,-1392625.0,-116.05208333333333,1.6939470999079094,200875.0
0.43,0.6518518518518519,0.6350800125509883,0.6433566433566433,0.25875,-1394550.0,-116.2125,1.6997712852560531,198950.0
0.44,0.6570397111913358,0.6281769689363037,0.6422842476740456,0.2539166666666667,-1395500.0,-116.29166666666667,1.7040466022589897,198000.0
0.45,0.6596173212487412,0.6165673046752431,0.6373662017515407,0.24825,-1398575.0,-116.54791666666667,1.7106635304686972,194925.0
0.46,0.6644962302947224,0.608409162221525,0.6352170352170352,0.24316666666666667,-1400075.0,-116.67291666666667,1.7155414155637794,193425.0
0.47,0.6679469273743017,0.6002510197678067,0.6322921831102297,0.23866666666666667,-1401925.0,-116.82708333333333,1.7202749868001548,191575.0
0.48,0.6729537366548043,0.5933479761531221,0.6306486576621644,0.23416666666666666,-1403075.0,-116.92291666666667,1.7244230865344121,190425.0
0.49,0.6780896828290193,0.5836209601506118,0.627318718381113,0.22858333333333333,-1405150.0,-117.09583333333333,1.7300825044900612,188350.0
0.5,0.6835820895522388,0.5748352682773769,0.6245099710243737,0.22333333333333333,-1406900.0,-117.24166666666666,1.7352229906984817,186600.0
0.51,0.6883809523809524,0.566990900533417,0.6218169304886442,0.21875,-1408525.0,-117.37708333333333,1.739775968461812,184975.0
0.52,0.6916796267496111,0.558205208660182,0.6178155929848932,0.21433333333333332,-1410775.0,-117.56458333333333,1.7447017569044798,182725.0
0.53,0.6968488232947746,0.5481644179479134,0.6136283807516684,0.20891666666666667,-1413125.0,-117.76041666666667,1.7503937111397343,180375.0
0.54,0.700530395756834,0.5387511766551616,0.6090812344803122,0.20425,-1415575.0,-117.96458333333334,1.7556207283038425,177925.0
0.55,0.7057837384744342,0.5283966112331346,0.6043423649739817,0.19883333333333333,-1418100.0,-118.175,1.7614127130834927,175400.0
0.56,0.7088006902502157,0.5155318481330404,0.5969118982742961,0.19316666666666665,-1421875.0,-118.48958333333333,1.7683453566224934,171625.0
0.57,0.7140951534015118,0.50392218387198,0.5908756438557763,0.18741666666666668,-1424900.0,-118.74166666666666,1.774714461586608,168600.0
0.58,0.7181818181818181,0.4957640414182617,0.5865973640245035,0.18333333333333332,-1427000.0,-118.91666666666667,1.7791840409317257,166500.0
